open_space,roof_type,roof_age,runoff_coefficient,location,annual_rainfall,annual_harvestable_water
573,Asbestos Sheet,5,0.769,Jaisalmer,210,88424
574,Asbestos Sheet,37,0.7543,Kolkata,1800,724833
122,Lime-Finished Roofs,37,0.6563,Anantapur,560,41656
144,Concrete Roof,39,0.6436,Sagar,1100,93222
529,Concrete Roof,50,0.6243,Wardha,1060,316825
343,Lime-Finished Roofs,13,0.6418,Bathinda,420,87515
380,Lime-Finished Roofs,31,0.6694,Mumbai,2250,536500
301,Asbestos Sheet,10,0.7637,Hyderabad,800,173716
236,Modern Composite Sheets,23,0.8316,Lucknow,1000,184184
436,Tiled Roof,37,0.7063,Wardha,1060,298638
68,Stone Slabs,28,0.7033,Sagar,1100,48829
228,Stone Slabs,4,0.7052,Jaipur,650,99738
456,Ceramic Tiles,19,0.8313,Hyderabad,800,287299
64,Stone Slabs,39,0.7073,Chennai,1400,58192
387,Concrete Roof,7,0.6779,Raichur,620,155306
404,Metal Roofs,41,0.8277,Bathinda,420,128854
280,Galvanized Iron Sheet,12,0.8727,Ahmedabad,800,185400
445,Lime-Finished Roofs,1,0.6631,Bathinda,420,119639
144,Lime-Finished Roofs,29,0.6476,Hisar,500,43392
281,Asbestos Sheet,17,0.778,Hyderabad,800,163677
254,Galvanized Iron Sheet,34,0.8488,Bhopal,1150,227565
550,Metal Roofs,50,0.8486,Shillong,2900,1222970
583,Lime-Finished Roofs,45,0.6618,Lucknow,1000,355888
270,Asbestos Sheet,5,0.754,Bathinda,420,81769
183,Ceramic Tiles,13,0.8286,Tezpur,1850,264552
179,Asbestos Sheet,2,0.742,Hisar,500,64075
516,Modern Composite Sheets,19,0.8292,Jaisalmer,210,84228
261,Lime-Finished Roofs,25,0.6698,Shillong,2900,473593
301,Terracotta and Clay Tiles,32,0.8169,Jaipur,650,148317
303,Concrete Roof,44,0.6615,Hyderabad,800,148073
434,Modern Composite Sheets,40,0.8428,Hyderabad,800,268235
238,Metal Roofs,27,0.8442,Bathinda,420,78924
434,Ceramic Tiles,35,0.7816,Hisar,500,158535
272,Modern Composite Sheets,7,0.8458,Sambalpur,1400,306390
73,Asbestos Sheet,3,0.7439,Jaipur,650,33578
431,Galvanized Iron Sheet,23,0.8366,Hyderabad,800,268590
422,Concrete Roof,18,0.6485,Sambalpur,1400,360023
320,Lime-Finished Roofs,9,0.661,Hyderabad,800,162178
398,Asbestos Sheet,14,0.746,Ahmedabad,800,224102
195,Ceramic Tiles,38,0.7928,Wardha,1060,150249
156,Galvanized Iron Sheet,46,0.8661,Sagar,1100,135763
271,Ceramic Tiles,20,0.8015,Sagar,1100,224710
328,Asbestos Sheet,5,0.7637,Anantapur,560,134730
586,Galvanized Iron Sheet,36,0.8471,Delhi,780,361536
571,Galvanized Iron Sheet,10,0.8394,Raichur,620,281673
217,Modern Composite Sheets,22,0.8516,Hisar,500,86256
235,Concrete Roof,14,0.6855,Bhopal,1150,175877
252,Metal Roofs,37,0.8601,Ahmedabad,800,161144
295,Tiled Roof,3,0.7252,Delhi,780,159218
257,Metal Roofs,2,0.8399,Sambalpur,1400,288273
