roof_type,roof_age,region,location,runoff_coefficient
Asbestos Sheet,5,Rural,Jaisalmer,0.769
Asbestos Sheet,37,Urban,Kolkata,0.7543
Lime-Finished Roofs,37,Rural,Anantapur,0.6563
Concrete Roof,39,Rural,Sagar,0.6436
Concrete Roof,50,Rural,Wardha,0.6243
Lime-Finished Roofs,13,Rural,Bathinda,0.6418
Lime-Finished Roofs,31,Urban,Mumbai,0.6694
Asbestos Sheet,10,Urban,Hyderabad,0.7637
Modern Composite Sheets,23,Urban,Lucknow,0.8316
Tiled Roof,37,Rural,Wardha,0.7063
Stone Slabs,28,Rural,Sagar,0.7033
Stone Slabs,4,Urban,Jaipur,0.7052
Ceramic Tiles,19,Urban,Hyderabad,0.8313
Stone Slabs,39,Urban,Chennai,0.7073
Concrete Roof,7,Rural,Raichur,0.6779
Metal Roofs,41,Rural,Bathinda,0.8277
Galvanized Iron Sheet,12,Urban,Ahmedabad,0.8727
Lime-Finished Roofs,1,Rural,Bathinda,0.6631
Lime-Finished Roofs,29,Rural,Hisar,0.6476
Asbestos Sheet,17,Urban,Hyderabad,0.778
Galvanized Iron Sheet,34,Urban,Bhopal,0.8488
Metal Roofs,50,Rural,Shillong,0.8486
Lime-Finished Roofs,45,Urban,Lucknow,0.6618
Asbestos Sheet,5,Rural,Bathinda,0.754
Ceramic Tiles,13,Rural,Tezpur,0.8286
Asbestos Sheet,2,Rural,Hisar,0.742
Modern Composite Sheets,19,Rural,Jaisalmer,0.8292
Lime-Finished Roofs,25,Rural,Shillong,0.6698
Terracotta and Clay Tiles,32,Urban,Jaipur,0.8169
Concrete Roof,44,Urban,Hyderabad,0.6615
Modern Composite Sheets,40,Urban,Hyderabad,0.8428
Metal Roofs,27,Rural,Bathinda,0.8442
Ceramic Tiles,35,Rural,Hisar,0.7816
Modern Composite Sheets,7,Rural,Sambalpur,0.8458
Asbestos Sheet,3,Urban,Jaipur,0.7439
Galvanized Iron Sheet,23,Urban,Hyderabad,0.8366
Concrete Roof,18,Rural,Sambalpur,0.6485
Lime-Finished Roofs,9,Urban,Hyderabad,0.661
Asbestos Sheet,14,Urban,Ahmedabad,0.746
Ceramic Tiles,38,Rural,Wardha,0.7928
Galvanized Iron Sheet,46,Rural,Sagar,0.8661
Ceramic Tiles,20,Rural,Sagar,0.8015
Asbestos Sheet,5,Rural,Anantapur,0.7637
Galvanized Iron Sheet,36,Urban,Delhi,0.8471
Galvanized Iron Sheet,10,Rural,Raichur,0.8394
Modern Composite Sheets,22,Rural,Hisar,0.8516
Concrete Roof,14,Urban,Bhopal,0.6855
Metal Roofs,37,Urban,Ahmedabad,0.8601
Tiled Roof,3,Urban,Delhi,0.7252
Metal Roofs,2,Rural,Sambalpur,0.8399
Tiled Roof,21,Rural,Anantapur,0.6905
Stone Slabs,7,Rural,Anantapur,0.6945
Lime-Finished Roofs,2,Rural,Raichur,0.6375
Terracotta and Clay Tiles,27,Rural,Shillong,0.7948
Galvanized Iron Sheet,41,Rural,Hisar,0.8557
Galvanized Iron Sheet,10,Urban,Jaipur,0.8628
Ceramic Tiles,50,Rural,Bathinda,0.8103
Stone Slabs,46,Rural,Jaisalmer,0.6966
Concrete Roof,38,Rural,Jaisalmer,0.6409
Galvanized Iron Sheet,23,Urban,Mumbai,0.8644
Stone Slabs,8,Rural,Sambalpur,0.6879
Concrete Roof,17,Rural,Sagar,0.637
Lime-Finished Roofs,21,Urban,Mumbai,0.6595
Asbestos Sheet,40,Rural,Raichur,0.7468
Stone Slabs,42,Urban,Chennai,0.7228
Concrete Roof,22,Urban,Ahmedabad,0.6645
Terracotta and Clay Tiles,6,Urban,Pune,0.8244
Lime-Finished Roofs,15,Rural,Shillong,0.6504
Galvanized Iron Sheet,5,Rural,Shillong,0.8486
Ceramic Tiles,43,Rural,Raichur,0.7952
Ceramic Tiles,16,Rural,Tezpur,0.7961
Modern Composite Sheets,27,Rural,Sagar,0.83
Asbestos Sheet,22,Urban,Pune,0.7782
Metal Roofs,32,Rural,Purnia,0.834
Galvanized Iron Sheet,41,Urban,Pune,0.8752
Stone Slabs,49,Urban,Chennai,0.7067
Modern Composite Sheets,48,Rural,Jaisalmer,0.8296
Ceramic Tiles,10,Urban,Chennai,0.8166
Tiled Roof,1,Rural,Hisar,0.7151
Tiled Roof,44,Rural,Purnia,0.6871
Asbestos Sheet,11,Rural,Anantapur,0.7546
Ceramic Tiles,36,Urban,Mumbai,0.809
Tiled Roof,29,Urban,Bhopal,0.7418
Metal Roofs,13,Rural,Anantapur,0.8572
Metal Roofs,35,Urban,Jaipur,0.8835
Concrete Roof,9,Rural,Purnia,0.6609
Asbestos Sheet,26,Urban,Bhopal,0.7571
Metal Roofs,35,Urban,Pune,0.8437
Stone Slabs,22,Urban,Delhi,0.7434
Metal Roofs,28,Rural,Hisar,0.8604
Metal Roofs,26,Urban,Bhopal,0.8689
Metal Roofs,9,Rural,Sambalpur,0.8462
Galvanized Iron Sheet,31,Rural,Sagar,0.8598
Stone Slabs,12,Rural,Anantapur,0.6794
Concrete Roof,42,Rural,Wardha,0.6153
Galvanized Iron Sheet,41,Urban,Hyderabad,0.8613
Concrete Roof,40,Urban,Lucknow,0.6623
Modern Composite Sheets,4,Rural,Bathinda,0.8247
Galvanized Iron Sheet,29,Urban,Bhopal,0.8471
Asbestos Sheet,46,Rural,Raichur,0.7619
Lime-Finished Roofs,3,Rural,Bathinda,0.6331
Lime-Finished Roofs,49,Urban,Delhi,0.6959
Stone Slabs,22,Rural,Sagar,0.7064
Galvanized Iron Sheet,14,Rural,Purnia,0.8339
Galvanized Iron Sheet,50,Urban,Kolkata,0.8493
Terracotta and Clay Tiles,15,Urban,Jaipur,0.8442
Modern Composite Sheets,32,Urban,Patna,0.8169
Ceramic Tiles,8,Urban,Lucknow,0.8346
Ceramic Tiles,50,Urban,Bhopal,0.8163
Asbestos Sheet,41,Rural,Purnia,0.7482
Ceramic Tiles,6,Urban,Jaipur,0.8522
Galvanized Iron Sheet,10,Rural,Raichur,0.849
Stone Slabs,5,Rural,Tezpur,0.6999
Asbestos Sheet,43,Urban,Bengaluru,0.7637
Galvanized Iron Sheet,7,Urban,Pune,0.871
Lime-Finished Roofs,15,Rural,Hisar,0.6412
Lime-Finished Roofs,38,Urban,Kolkata,0.6519
Stone Slabs,32,Rural,Wardha,0.7048
Stone Slabs,26,Urban,Ahmedabad,0.7217
Stone Slabs,5,Urban,Lucknow,0.7389
Ceramic Tiles,32,Rural,Anantapur,0.7797
Metal Roofs,43,Rural,Wardha,0.8532
Metal Roofs,33,Rural,Shillong,0.8691
Concrete Roof,47,Urban,Pune,0.6659
Metal Roofs,31,Rural,Purnia,0.8615
Asbestos Sheet,34,Urban,Lucknow,0.7582
Tiled Roof,15,Rural,Sagar,0.7064
Metal Roofs,50,Urban,Hyderabad,0.8835
Asbestos Sheet,21,Rural,Purnia,0.7537
Galvanized Iron Sheet,42,Urban,Pune,0.8901
Concrete Roof,42,Rural,Purnia,0.6342
Tiled Roof,42,Rural,Bathinda,0.6847
Modern Composite Sheets,29,Urban,Lucknow,0.8283
Stone Slabs,17,Urban,Mumbai,0.6874
Modern Composite Sheets,22,Urban,Delhi,0.816
Modern Composite Sheets,18,Urban,Ahmedabad,0.8388
Ceramic Tiles,50,Rural,Shillong,0.8033
Metal Roofs,31,Rural,Tezpur,0.833
Lime-Finished Roofs,42,Urban,Mumbai,0.6688
Terracotta and Clay Tiles,9,Urban,Hyderabad,0.799
Tiled Roof,24,Rural,Hisar,0.7174
Galvanized Iron Sheet,49,Urban,Patna,0.8709
Metal Roofs,25,Urban,Jaipur,0.8624
Concrete Roof,30,Urban,Mumbai,0.6614
Tiled Roof,41,Urban,Hyderabad,0.6935
Terracotta and Clay Tiles,3,Urban,Kolkata,0.8266
Asbestos Sheet,26,Urban,Ahmedabad,0.7625
Metal Roofs,20,Rural,Tezpur,0.8357
Metal Roofs,37,Rural,Shillong,0.8592
Tiled Roof,39,Urban,Hyderabad,0.7194
Asbestos Sheet,18,Urban,Ahmedabad,0.7738
Terracotta and Clay Tiles,11,Rural,Bathinda,0.7913
Ceramic Tiles,43,Rural,Jaisalmer,0.7989
Terracotta and Clay Tiles,1,Rural,Hisar,0.7765
Metal Roofs,44,Rural,Shillong,0.8594
Terracotta and Clay Tiles,24,Urban,Pune,0.8129
Metal Roofs,34,Urban,Mumbai,0.8461
Galvanized Iron Sheet,23,Rural,Hisar,0.8525
Modern Composite Sheets,25,Rural,Sambalpur,0.8288
Metal Roofs,7,Rural,Purnia,0.8403
Concrete Roof,8,Rural,Jaisalmer,0.6274
Asbestos Sheet,29,Rural,Bathinda,0.7409
Ceramic Tiles,27,Urban,Chennai,0.7972
Galvanized Iron Sheet,18,Urban,Patna,0.8626
Tiled Roof,50,Urban,Ahmedabad,0.7202
Galvanized Iron Sheet,7,Rural,Bathinda,0.8139
Terracotta and Clay Tiles,17,Rural,Anantapur,0.7962
Galvanized Iron Sheet,36,Urban,Mumbai,0.8457
Asbestos Sheet,47,Urban,Chennai,0.7583
Galvanized Iron Sheet,30,Rural,Hisar,0.8339
Modern Composite Sheets,2,Rural,Bathinda,0.8202
Terracotta and Clay Tiles,24,Urban,Kolkata,0.8194
Metal Roofs,26,Urban,Jaipur,0.8701
Tiled Roof,13,Urban,Delhi,0.7128
Modern Composite Sheets,25,Urban,Hyderabad,0.848
Modern Composite Sheets,22,Rural,Hisar,0.8283
Concrete Roof,28,Urban,Bhopal,0.6874
Asbestos Sheet,43,Urban,Ahmedabad,0.7892
Modern Composite Sheets,27,Rural,Sambalpur,0.8183
Metal Roofs,29,Urban,Patna,0.8579
Concrete Roof,46,Rural,Tezpur,0.6541
Concrete Roof,7,Urban,Pune,0.6546
Concrete Roof,27,Urban,Hyderabad,0.6797
Asbestos Sheet,3,Urban,Hyderabad,0.7523
Ceramic Tiles,7,Rural,Jaisalmer,0.8083
Tiled Roof,49,Urban,Chennai,0.6843
Asbestos Sheet,41,Urban,Bhopal,0.785
Tiled Roof,39,Urban,Pune,0.7205
Lime-Finished Roofs,17,Urban,Patna,0.6528
Galvanized Iron Sheet,30,Urban,Delhi,0.856
Asbestos Sheet,33,Urban,Lucknow,0.7664
Asbestos Sheet,12,Rural,Hisar,0.7566
Metal Roofs,29,Urban,Bhopal,0.8671
Ceramic Tiles,11,Rural,Wardha,0.8118
Tiled Roof,24,Rural,Wardha,0.6927
Concrete Roof,34,Rural,Anantapur,0.6359
Galvanized Iron Sheet,3,Rural,Bathinda,0.8621
Galvanized Iron Sheet,43,Urban,Ahmedabad,0.8875
Galvanized Iron Sheet,34,Rural,Raichur,0.8407
Galvanized Iron Sheet,47,Rural,Hisar,0.8176
Concrete Roof,8,Urban,Lucknow,0.6543
Modern Composite Sheets,49,Rural,Gorakhpur,0.8531
Modern Composite Sheets,17,Urban,Chennai,0.8469
Stone Slabs,39,Rural,Shillong,0.6773
Stone Slabs,44,Urban,Bengaluru,0.7041
Asbestos Sheet,32,Rural,Purnia,0.7263
Asbestos Sheet,35,Rural,Shillong,0.7616
Modern Composite Sheets,9,Rural,Gorakhpur,0.8652
Lime-Finished Roofs,39,Urban,Chennai,0.6515
Metal Roofs,6,Rural,Purnia,0.8678
Terracotta and Clay Tiles,41,Urban,Kolkata,0.8088
Lime-Finished Roofs,24,Urban,Bengaluru,0.6559
Metal Roofs,8,Urban,Pune,0.8725
Tiled Roof,3,Rural,Raichur,0.6956
Metal Roofs,44,Rural,Anantapur,0.8514
Concrete Roof,5,Rural,Purnia,0.6671
Metal Roofs,24,Rural,Raichur,0.8385
Lime-Finished Roofs,33,Urban,Lucknow,0.6677
Concrete Roof,39,Rural,Wardha,0.6317
Galvanized Iron Sheet,42,Urban,Patna,0.8586
Modern Composite Sheets,19,Rural,Purnia,0.8205
Stone Slabs,9,Rural,Sagar,0.7227
Terracotta and Clay Tiles,22,Rural,Hisar,0.8178
Ceramic Tiles,10,Urban,Chennai,0.8199
Ceramic Tiles,46,Urban,Pune,0.8053
Metal Roofs,32,Urban,Kolkata,0.8615
Tiled Roof,7,Rural,Bathinda,0.6992
Tiled Roof,1,Urban,Chennai,0.7278
Metal Roofs,27,Rural,Shillong,0.8527
Tiled Roof,30,Urban,Jaipur,0.7124
Ceramic Tiles,38,Rural,Wardha,0.8219
Metal Roofs,45,Rural,Shillong,0.8234
Concrete Roof,43,Urban,Bengaluru,0.655
Terracotta and Clay Tiles,28,Rural,Sambalpur,0.8214
Modern Composite Sheets,45,Rural,Shillong,0.8044
Asbestos Sheet,10,Urban,Patna,0.7773
Metal Roofs,30,Urban,Ahmedabad,0.8661
Lime-Finished Roofs,45,Urban,Lucknow,0.6537
Tiled Roof,4,Urban,Patna,0.6907
Lime-Finished Roofs,7,Rural,Anantapur,0.6542
Metal Roofs,38,Rural,Sagar,0.8486
Metal Roofs,5,Rural,Sambalpur,0.8453
Tiled Roof,24,Urban,Delhi,0.7261
Tiled Roof,42,Rural,Jaisalmer,0.7045
Ceramic Tiles,22,Rural,Jaisalmer,0.7779
Asbestos Sheet,13,Urban,Hyderabad,0.7711
Galvanized Iron Sheet,6,Urban,Pune,0.8501
Tiled Roof,22,Rural,Bathinda,0.7083
Ceramic Tiles,6,Rural,Bathinda,0.8056
Terracotta and Clay Tiles,16,Urban,Hyderabad,0.8361
Metal Roofs,14,Rural,Jaisalmer,0.8546
Metal Roofs,9,Rural,Bathinda,0.8023
Metal Roofs,40,Urban,Chennai,0.8431
Ceramic Tiles,9,Rural,Purnia,0.8062
Galvanized Iron Sheet,23,Rural,Sambalpur,0.8264
Stone Slabs,31,Urban,Bhopal,0.7052
Ceramic Tiles,16,Urban,Mumbai,0.8174
Modern Composite Sheets,48,Rural,Jaisalmer,0.8513
Galvanized Iron Sheet,2,Rural,Sagar,0.8577
Asbestos Sheet,17,Urban,Ahmedabad,0.7732
Metal Roofs,44,Urban,Hyderabad,0.839
Tiled Roof,9,Rural,Shillong,0.6946
Tiled Roof,12,Rural,Jaisalmer,0.7011
Terracotta and Clay Tiles,48,Rural,Shillong,0.792
Terracotta and Clay Tiles,25,Urban,Ahmedabad,0.8264
Terracotta and Clay Tiles,25,Rural,Sagar,0.7816
Concrete Roof,6,Urban,Delhi,0.6516
Asbestos Sheet,17,Urban,Delhi,0.7533
Asbestos Sheet,7,Urban,Mumbai,0.7952
Modern Composite Sheets,23,Rural,Bathinda,0.8102
Stone Slabs,42,Urban,Patna,0.7281
Ceramic Tiles,25,Urban,Bhopal,0.7896
Modern Composite Sheets,14,Rural,Purnia,0.8305
Concrete Roof,17,Rural,Sagar,0.677
Stone Slabs,41,Rural,Gorakhpur,0.6863
Galvanized Iron Sheet,23,Rural,Sagar,0.8225
Terracotta and Clay Tiles,20,Rural,Shillong,0.7955
Metal Roofs,49,Urban,Hyderabad,0.8639
Tiled Roof,46,Urban,Patna,0.7038
Asbestos Sheet,30,Urban,Pune,0.7572
Tiled Roof,24,Rural,Purnia,0.6739
Terracotta and Clay Tiles,25,Urban,Pune,0.8045
Galvanized Iron Sheet,47,Urban,Jaipur,0.8654
Terracotta and Clay Tiles,30,Rural,Gorakhpur,0.7975
Concrete Roof,11,Urban,Lucknow,0.6772
Galvanized Iron Sheet,36,Urban,Mumbai,0.8663
Stone Slabs,8,Urban,Delhi,0.7079
Asbestos Sheet,25,Rural,Purnia,0.7385
Modern Composite Sheets,47,Urban,Kolkata,0.8341
Modern Composite Sheets,27,Rural,Sagar,0.7994
Lime-Finished Roofs,26,Urban,Pune,0.6373
Metal Roofs,37,Rural,Shillong,0.8199
Stone Slabs,6,Urban,Bengaluru,0.6954
Modern Composite Sheets,30,Rural,Jaisalmer,0.8347
Galvanized Iron Sheet,47,Urban,Kolkata,0.8774
Stone Slabs,47,Rural,Purnia,0.6996
Ceramic Tiles,18,Rural,Raichur,0.8104
Tiled Roof,46,Rural,Jaisalmer,0.6794
Terracotta and Clay Tiles,37,Urban,Lucknow,0.8164
Metal Roofs,18,Urban,Patna,0.8598
Tiled Roof,48,Urban,Patna,0.72
Modern Composite Sheets,2,Rural,Hisar,0.8206
Tiled Roof,42,Rural,Raichur,0.6849
Concrete Roof,39,Urban,Bhopal,0.657
Metal Roofs,7,Urban,Mumbai,0.8725
Modern Composite Sheets,37,Rural,Anantapur,0.8148
Modern Composite Sheets,1,Urban,Delhi,0.8429
Concrete Roof,12,Urban,Patna,0.68
Galvanized Iron Sheet,30,Urban,Jaipur,0.8512
Lime-Finished Roofs,41,Rural,Sagar,0.6379
Asbestos Sheet,41,Urban,Hyderabad,0.7737
Lime-Finished Roofs,26,Rural,Shillong,0.6894
Concrete Roof,16,Rural,Purnia,0.6722
Lime-Finished Roofs,28,Urban,Mumbai,0.667
Terracotta and Clay Tiles,17,Urban,Kolkata,0.8211
Stone Slabs,31,Rural,Jaisalmer,0.6834
Ceramic Tiles,17,Rural,Hisar,0.7778
Galvanized Iron Sheet,12,Urban,Mumbai,0.8538
Stone Slabs,22,Urban,Ahmedabad,0.703
Terracotta and Clay Tiles,6,Urban,Bengaluru,0.8142
Metal Roofs,23,Urban,Lucknow,0.8735
Lime-Finished Roofs,48,Urban,Chennai,0.6325
Modern Composite Sheets,12,Urban,Pune,0.8392
Galvanized Iron Sheet,32,Urban,Mumbai,0.8665
Terracotta and Clay Tiles,19,Rural,Bathinda,0.8034
Ceramic Tiles,30,Urban,Patna,0.8163
Modern Composite Sheets,8,Rural,Sambalpur,0.8398
Modern Composite Sheets,2,Urban,Hyderabad,0.8249
Terracotta and Clay Tiles,8,Urban,Kolkata,0.8109
Asbestos Sheet,24,Rural,Sagar,0.7301
Stone Slabs,25,Rural,Gorakhpur,0.6872
Galvanized Iron Sheet,5,Urban,Kolkata,0.8545
Ceramic Tiles,29,Rural,Jaisalmer,0.8085
Asbestos Sheet,28,Urban,Mumbai,0.7751
Terracotta and Clay Tiles,18,Rural,Jaisalmer,0.7661
Modern Composite Sheets,17,Rural,Gorakhpur,0.7902
Modern Composite Sheets,23,Urban,Hyderabad,0.841
Modern Composite Sheets,47,Urban,Pune,0.8299
Lime-Finished Roofs,20,Urban,Lucknow,0.6714
Ceramic Tiles,31,Urban,Mumbai,0.8193
Terracotta and Clay Tiles,1,Rural,Shillong,0.7774
Concrete Roof,6,Urban,Pune,0.6469
Metal Roofs,31,Rural,Sambalpur,0.837
Ceramic Tiles,25,Urban,Jaipur,0.8372
Metal Roofs,11,Rural,Jaisalmer,0.8415
Concrete Roof,19,Rural,Raichur,0.6445
Galvanized Iron Sheet,1,Urban,Ahmedabad,0.8631
Stone Slabs,42,Rural,Gorakhpur,0.6838
Galvanized Iron Sheet,24,Rural,Anantapur,0.8447
Stone Slabs,29,Urban,Lucknow,0.71
Concrete Roof,11,Rural,Shillong,0.6527
Modern Composite Sheets,39,Rural,Shillong,0.7996
Stone Slabs,8,Rural,Shillong,0.6883
Ceramic Tiles,7,Rural,Sagar,0.7916
Metal Roofs,28,Rural,Sagar,0.8382
Metal Roofs,21,Rural,Bathinda,0.859
Metal Roofs,32,Urban,Bhopal,0.8584
Ceramic Tiles,6,Urban,Patna,0.8371
Metal Roofs,17,Rural,Wardha,0.8099
Lime-Finished Roofs,41,Urban,Pune,0.6529
Metal Roofs,49,Rural,Purnia,0.8583
Asbestos Sheet,15,Rural,Raichur,0.7811
Concrete Roof,31,Urban,Delhi,0.6866
Tiled Roof,38,Rural,Sambalpur,0.7037
Tiled Roof,8,Urban,Hyderabad,0.721
Lime-Finished Roofs,11,Urban,Bengaluru,0.6564
Modern Composite Sheets,48,Urban,Ahmedabad,0.8269
Asbestos Sheet,3,Rural,Hisar,0.7742
Terracotta and Clay Tiles,43,Rural,Tezpur,0.8019
Asbestos Sheet,30,Rural,Tezpur,0.7371
Concrete Roof,29,Rural,Shillong,0.6587
Modern Composite Sheets,48,Rural,Tezpur,0.8197
Galvanized Iron Sheet,47,Rural,Tezpur,0.8497
Tiled Roof,44,Urban,Patna,0.7091
Ceramic Tiles,4,Urban,Chennai,0.8069
Tiled Roof,21,Urban,Jaipur,0.6951
Asbestos Sheet,47,Urban,Ahmedabad,0.7648
Metal Roofs,33,Urban,Bhopal,0.8515
Concrete Roof,43,Rural,Jaisalmer,0.6395
Lime-Finished Roofs,45,Rural,Jaisalmer,0.6479
Concrete Roof,37,Urban,Chennai,0.6702
Lime-Finished Roofs,13,Rural,Wardha,0.6521
Galvanized Iron Sheet,44,Rural,Tezpur,0.8273
Galvanized Iron Sheet,10,Urban,Chennai,0.8805
Terracotta and Clay Tiles,39,Urban,Ahmedabad,0.8228
Stone Slabs,19,Rural,Gorakhpur,0.6927
Lime-Finished Roofs,46,Urban,Delhi,0.6521
Terracotta and Clay Tiles,18,Rural,Raichur,0.7972
Asbestos Sheet,27,Urban,Hyderabad,0.7789
Modern Composite Sheets,22,Urban,Lucknow,0.8405
Asbestos Sheet,8,Rural,Wardha,0.7687
Stone Slabs,46,Urban,Ahmedabad,0.7039
Galvanized Iron Sheet,50,Rural,Gorakhpur,0.8136
Metal Roofs,6,Rural,Sambalpur,0.8568
Terracotta and Clay Tiles,7,Rural,Sambalpur,0.7841
Lime-Finished Roofs,18,Rural,Sambalpur,0.6583
Stone Slabs,44,Rural,Anantapur,0.6904
Tiled Roof,19,Rural,Sagar,0.7083
Modern Composite Sheets,23,Urban,Ahmedabad,0.8232
