recommended_structure,roof_area,region,installation_cost,payback_period
Recharge Well,26.83,Rajasthan,16048.71,29.91
Rainwater Barrel,15.66,Karnataka,2566.18,6.55
Infiltration Trench,48.5,Maharashtra,13700.56,6.73
Rainwater Barrel,67.2,Tamil Nadu,7720.01,5.11
Rainwater Barrel,33.45,Gujarat,4344.85,8.66
Recharge Pit,14.84,West Bengal,4225.51,6.33
Infiltration Trench,28.25,Tamil Nadu,9649.95,10.84
Infiltration Trench,35.72,Maharashtra,11144.42,7.43
Infiltration Trench,22.09,Tamil Nadu,8418.08,12.1
Rainwater Barrel,44.33,West Bengal,5433.11,3.27
Recharge Well,21.04,Gujarat,14311.02,28.35
Infiltration Trench,33.54,Tamil Nadu,10708.5,10.13
Rainwater Barrel,29.54,Gujarat,3954.28,8.92
Recharge Pit,45.06,Maharashtra,8758.54,5.4
Recharge Well,32.88,Gujarat,17864.01,22.64
Recharge Pit,30.02,Karnataka,6502.51,7.22
Recharge Well,22.17,Karnataka,14649.85,16.52
Rainwater Barrel,33.7,Gujarat,4369.62,8.65
Cistern,29.08,Rajasthan,12268.88,22.5
Recharge Well,21.43,Punjab,14428.63,24.05
Recharge Pit,35.86,Rajasthan,7379.66,13.72
Rainwater Barrel,39.73,Gujarat,4972.52,8.34
Recharge Well,27.96,Punjab,16388.18,20.93
Cistern,52.76,Karnataka,18190.41,9.19
Cistern,37.79,Punjab,14446.96,14.56
Infiltration Trench,17.43,Gujarat,7485.58,20.45
Infiltration Trench,64.63,Karnataka,16926.24,7.48
Recharge Pit,48.59,Punjab,9289.06,9.1
Recharge Well,54.65,Punjab,24394.45,15.94
Recharge Well,40.46,Rajasthan,20137.24,24.89
Infiltration Trench,10.29,Punjab,6057.93,24.03
Recharge Well,57.19,Maharashtra,25155.8,9.16
Recharge Well,34.14,Gujarat,18241.22,22.26
Cistern,39.51,Delhi NCR,14878.05,12.55
Infiltration Trench,43.39,Delhi NCR,12677.68,10.44
Rainwater Barrel,87.19,Delhi NCR,9719.43,5.57
Infiltration Trench,25.2,Gujarat,9040.22,17.08
Rainwater Barrel,25.53,Delhi NCR,3552.86,6.96
Cistern,21.64,Rajasthan,10409.67,25.66
Recharge Pit,19.4,Gujarat,4909.29,14.06
Recharge Well,19.57,Maharashtra,13872.39,14.76
Cistern,13.12,Karnataka,8279.93,16.83
Recharge Well,40.99,Maharashtra,20297.0,10.32
Recharge Pit,89.47,Gujarat,15420.5,9.58
Recharge Pit,92.37,Gujarat,15855.29,9.54
Cistern,21.62,Punjab,10406.07,18.33
Recharge Pit,28.9,Punjab,6335.35,10.44
Rainwater Barrel,61.35,Punjab,7135.47,6.65
Recharge Pit,41.11,West Bengal,8166.02,4.41
Recharge Well,35.42,West Bengal,18625.8,8.76
Recharge Well,29.13,Tamil Nadu,16737.81,15.96
Recharge Well,59.69,West Bengal,25906.75,7.23
Recharge Well,19.37,Rajasthan,13809.54,35.66
Rainwater Barrel,42.12,Gujarat,5211.64,8.25
Infiltration Trench,39.35,Maharashtra,11869.77,7.18
Cistern,33.84,Gujarat,13460.36,17.68
Recharge Well,49.1,Punjab,22730.09,16.53
Recharge Pit,33.68,Gujarat,7051.82,11.63
Recharge Well,25.35,Karnataka,15604.68,15.39
Recharge Pit,34.68,West Bengal,7202.48,4.61
Recharge Pit,14.94,Gujarat,4240.79,15.77
Recharge Well,44.99,Maharashtra,21495.88,9.95
Rainwater Barrel,51.12,Delhi NCR,6111.69,5.98
Recharge Pit,23.85,Karnataka,5577.17,7.8
Recharge Pit,21.17,Karnataka,5176.01,8.15
Recharge Well,24.29,Gujarat,15287.43,26.22
Recharge Pit,32.09,Tamil Nadu,6813.23,7.86
Recharge Pit,36.89,Punjab,7533.51,9.72
Recharge Well,74.27,Rajasthan,30281.87,20.39
Recharge Well,69.72,Rajasthan,28917.22,20.74
Cistern,50.19,Delhi NCR,17546.94,11.65
Rainwater Barrel,35.19,Rajasthan,4518.54,10.27
Rainwater Barrel,20.83,Rajasthan,3083.3,11.84
Recharge Pit,76.69,Punjab,13504.04,8.38
Rainwater Barrel,29.26,West Bengal,3925.88,3.58
Recharge Pit,38.12,Punjab,7717.7,9.64
Cistern,45.32,Tamil Nadu,16329.18,10.68
Recharge Well,34.15,Maharashtra,18245.36,11.13
Recharge Well,58.88,Delhi NCR,25664.83,13.62
Recharge Well,41.58,Rajasthan,20474.96,24.62
Rainwater Barrel,54.29,Tamil Nadu,6428.89,5.26
Cistern,41.42,Delhi NCR,15354.06,12.36
Rainwater Barrel,32.49,Karnataka,4249.38,5.23
Rainwater Barrel,34.37,Rajasthan,4436.69,10.33
Cistern,32.1,Rajasthan,13025.19,21.64
Cistern,17.42,Punjab,9356.04,20.46
Cistern,20.08,Gujarat,10019.33,22.18
Cistern,47.96,Delhi NCR,16988.88,11.81
Recharge Well,17.64,Rajasthan,13292.77,37.67
Infiltration Trench,27.06,West Bengal,9411.09,6.63
Infiltration Trench,19.59,Delhi NCR,7917.72,14.44
Cistern,26.34,Maharashtra,11585.34,9.77
Infiltration Trench,30.64,West Bengal,10128.36,6.3
Infiltration Trench,27.03,Tamil Nadu,9405.65,11.05
Cistern,16.21,West Bengal,9053.27,9.93
Infiltration Trench,30.18,Tamil Nadu,10036.33,10.56
Rainwater Barrel,20.5,Gujarat,3050.26,9.92
Recharge Pit,24.09,Rajasthan,5613.23,15.54
Recharge Pit,47.95,West Bengal,9193.23,4.26
Cistern,53.39,Maharashtra,18348.47,7.64
Recharge Well,17.19,Punjab,13157.96,27.33
Cistern,72.55,Rajasthan,23138.53,17.01
Recharge Well,25.66,Delhi NCR,15698.18,19.12
Recharge Pit,24.52,Karnataka,5678.02,7.72
Cistern,21.2,Tamil Nadu,10300.91,14.39
Rainwater Barrel,34.05,Delhi NCR,4405.43,6.47
Infiltration Trench,89.19,Gujarat,21838.11,11.66
Recharge Well,15.34,Tamil Nadu,12600.65,22.82
Infiltration Trench,11.84,Punjab,6368.17,21.95
Infiltration Trench,37.87,Tamil Nadu,11574.73,9.7
Cistern,44.02,Karnataka,16005.28,9.7
Infiltration Trench,34.0,West Bengal,10799.83,6.05
Rainwater Barrel,44.61,Maharashtra,5460.74,4.08
Infiltration Trench,18.81,West Bengal,7761.93,7.86
Cistern,20.65,Rajasthan,10161.72,26.25
Rainwater Barrel,35.23,Karnataka,4523.29,5.14
Recharge Pit,79.76,Maharashtra,13964.15,4.86
Infiltration Trench,43.83,Karnataka,12766.19,8.32
Cistern,44.86,Rajasthan,16215.62,19.28
Recharge Pit,19.36,Tamil Nadu,4903.86,9.38
Recharge Pit,40.9,Gujarat,8135.44,11.05
Recharge Well,18.34,Rajasthan,13501.12,36.81
Rainwater Barrel,80.15,Rajasthan,9014.83,9.0
Infiltration Trench,19.97,Maharashtra,7993.22,9.53
Cistern,22.24,Punjab,10559.26,18.09
Recharge Well,15.85,West Bengal,12756.39,13.41
Rainwater Barrel,34.57,Tamil Nadu,4456.73,5.73
Recharge Well,33.85,Rajasthan,18154.56,26.82
Rainwater Barrel,70.57,Gujarat,8057.11,7.61
Rainwater Barrel,48.82,Delhi NCR,5882.33,6.02
Infiltration Trench,22.3,Tamil Nadu,8460.13,12.04
Rainwater Barrel,51.25,Punjab,6124.91,6.83
Recharge Well,17.78,Karnataka,13334.9,18.75
Rainwater Barrel,23.12,Rajasthan,3312.29,11.46
Infiltration Trench,35.14,Gujarat,11027.22,14.94
Infiltration Trench,18.8,Tamil Nadu,7760.75,13.1
Recharge Well,56.39,Gujarat,24917.64,18.41
Recharge Pit,103.51,Gujarat,17526.32,9.41
Recharge Pit,28.58,West Bengal,6287.14,4.89
Rainwater Barrel,23.91,Maharashtra,3390.66,4.73
Cistern,31.04,Karnataka,12759.45,10.96
Rainwater Barrel,25.06,Punjab,3506.1,7.99
Recharge Well,37.75,West Bengal,19323.64,8.53
Recharge Well,17.1,Tamil Nadu,13128.56,21.33
Recharge Well,38.83,Rajasthan,19649.7,25.3
Recharge Well,86.14,Punjab,33841.68,14.03
Recharge Well,12.17,Rajasthan,11650.84,47.87
Infiltration Trench,18.46,Delhi NCR,7692.26,14.88
Recharge Pit,26.51,Gujarat,5976.3,12.52
Recharge Well,43.42,Delhi NCR,21026.34,15.13
Cistern,51.69,Maharashtra,17921.55,7.71
Cistern,49.65,Gujarat,17412.11,15.59
Cistern,14.21,Karnataka,8553.22,16.05
Cistern,23.64,Punjab,10909.33,17.58
Infiltration Trench,21.11,Rajasthan,8222.4,22.26
Cistern,32.05,West Bengal,13013.33,7.22
Recharge Well,33.42,Maharashtra,18025.85,11.24
Rainwater Barrel,16.7,Karnataka,2669.96,6.4
Cistern,26.58,Rajasthan,11645.42,23.37
Infiltration Trench,44.27,Punjab,12853.58,11.85
Infiltration Trench,24.19,Tamil Nadu,8837.49,11.6
Cistern,29.96,Maharashtra,12490.15,9.26
Rainwater Barrel,77.36,Delhi NCR,8735.81,5.65
Cistern,89.57,Delhi NCR,27392.37,10.19
Infiltration Trench,11.24,West Bengal,6247.64,10.59
Recharge Pit,35.06,Rajasthan,7258.41,13.8
Recharge Well,142.38,Rajasthan,50714.72,17.81
Infiltration Trench,42.07,Rajasthan,12414.74,16.86
Cistern,33.42,Maharashtra,13355.76,8.88
Recharge Well,63.84,Punjab,27151.31,15.19
Cistern,36.93,Tamil Nadu,14232.7,11.42
Cistern,47.21,Delhi NCR,16802.06,11.86
Recharge Pit,29.81,Karnataka,6471.52,7.24
Recharge Well,36.66,Gujarat,18998.76,21.59
Recharge Well,40.99,Maharashtra,20296.84,10.32
Recharge Pit,51.05,Maharashtra,9657.3,5.25
Infiltration Trench,26.69,Punjab,9337.2,14.28
Cistern,26.33,Delhi NCR,11581.46,14.66
Rainwater Barrel,12.63,West Bengal,2263.23,4.78
Cistern,27.29,Tamil Nadu,11821.85,12.84
Cistern,53.33,Punjab,18332.75,13.1
Infiltration Trench,41.75,Karnataka,12349.27,8.45
Cistern,20.12,Delhi NCR,10029.55,16.62
Recharge Pit,12.78,Punjab,3917.36,14.59
Recharge Pit,30.84,Delhi NCR,6625.89,8.95
Recharge Well,52.56,Delhi NCR,23766.95,14.13
Rainwater Barrel,26.06,West Bengal,3606.39,3.69
Cistern,16.08,Maharashtra,9019.85,12.47
Cistern,24.66,Tamil Nadu,11165.39,13.41
Infiltration Trench,38.98,Maharashtra,11796.24,7.21
Recharge Pit,61.63,Gujarat,11245.15,10.14
Rainwater Barrel,29.13,Tamil Nadu,3912.66,5.97
Recharge Well,56.12,Delhi NCR,24835.22,13.83
Recharge Pit,53.09,Punjab,9963.76,8.94
Recharge Well,18.39,Karnataka,13516.23,18.38
Infiltration Trench,61.89,West Bengal,16377.94,5.04
Infiltration Trench,38.38,Tamil Nadu,11676.15,9.66
Cistern,18.11,Gujarat,9528.38,23.38
Rainwater Barrel,79.87,Delhi NCR,8987.12,5.63
Recharge Well,31.1,Karnataka,17330.04,13.93
Recharge Pit,12.53,Tamil Nadu,3879.79,11.47
Infiltration Trench,23.26,Maharashtra,8652.61,8.86
Cistern,20.57,Maharashtra,10142.19,10.96
Cistern,23.55,Tamil Nadu,10887.52,13.7
Recharge Well,26.51,Tamil Nadu,15952.09,16.72
Infiltration Trench,29.12,Tamil Nadu,9823.3,10.71
Rainwater Barrel,28.57,Karnataka,3857.4,5.4
Infiltration Trench,31.54,Maharashtra,10308.01,7.78
Recharge Well,44.42,Punjab,21326.09,17.15
Recharge Well,22.8,Gujarat,14840.15,27.12
Infiltration Trench,59.77,Gujarat,15953.96,12.71
Recharge Well,17.95,West Bengal,13384.02,12.43
Infiltration Trench,45.04,Delhi NCR,13008.08,10.31
Recharge Pit,75.31,Rajasthan,13296.76,11.77
Infiltration Trench,30.31,Punjab,10061.05,13.55
Infiltration Trench,36.48,Maharashtra,11295.77,7.37
Recharge Well,20.41,Delhi NCR,14122.93,21.62
Recharge Well,25.64,West Bengal,15691.66,10.2
Cistern,72.52,Delhi NCR,23129.58,10.63
Cistern,48.15,Tamil Nadu,17036.54,10.48
Recharge Pit,40.82,Rajasthan,8123.61,13.27
Cistern,12.57,Maharashtra,8141.56,14.4
Infiltration Trench,23.14,Rajasthan,8628.93,21.3
Recharge Well,79.0,Punjab,31701.14,14.33
Cistern,40.67,Rajasthan,15166.74,19.89
Cistern,43.28,Delhi NCR,15821.16,12.18
Recharge Pit,36.06,Rajasthan,7409.51,13.7
Recharge Pit,24.37,Rajasthan,5656.06,15.47
Infiltration Trench,39.11,Gujarat,11821.16,14.39
Recharge Well,15.41,Maharashtra,12622.43,17.07
Recharge Pit,14.84,Maharashtra,4225.88,7.91
Cistern,22.93,Delhi NCR,10732.02,15.6
Recharge Well,36.46,Karnataka,18936.54,12.99
Recharge Well,15.11,Rajasthan,12532.12,41.48
Cistern,35.29,Rajasthan,13821.81,20.89
Recharge Pit,20.14,Tamil Nadu,5021.04,9.23
Cistern,21.54,Maharashtra,10385.95,10.71
Recharge Well,63.42,Rajasthan,27026.28,21.31
Rainwater Barrel,33.74,Maharashtra,4373.88,4.32
Rainwater Barrel,21.08,Rajasthan,3107.52,11.8
Infiltration Trench,36.36,Gujarat,11271.62,14.76
Cistern,15.88,Delhi NCR,8970.52,18.83
Cistern,40.09,Maharashtra,15022.88,8.33
Infiltration Trench,57.61,Punjab,15521.57,11.0
Infiltration Trench,46.1,Delhi NCR,13220.47,10.24
Infiltration Trench,97.4,Tamil Nadu,23480.6,7.65
Recharge Well,12.56,Delhi NCR,11769.08,29.27
Cistern,35.29,Rajasthan,13821.48,20.89
Recharge Well,16.92,Tamil Nadu,13074.75,21.47
Infiltration Trench,30.37,Delhi NCR,10073.6,11.85
Cistern,33.14,West Bengal,13285.26,7.13
Recharge Well,103.54,Tamil Nadu,39060.9,10.48
Recharge Well,32.14,West Bengal,17642.1,9.15
Infiltration Trench,31.84,Punjab,10368.39,13.29
Cistern,54.74,Delhi NCR,18684.79,11.38
Infiltration Trench,32.25,Maharashtra,10450.46,7.71
Cistern,82.73,Maharashtra,25682.32,6.9
Rainwater Barrel,46.29,Karnataka,5628.61,4.86
Recharge Pit,50.11,Rajasthan,9516.73,12.66
Recharge Pit,13.02,West Bengal,3952.48,6.75
Recharge Pit,89.35,Tamil Nadu,15403.11,6.38
Infiltration Trench,23.85,Karnataka,8769.93,10.51
Rainwater Barrel,32.95,Karnataka,4295.47,5.21
